GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
artifactId,fr.pantheonsorbonne,IntegerSumComputer,0,25,1,5,0,6,1,3,0,1
artifactId,fr.pantheonsorbonne.cri,App,7,0,0,0,3,0,2,0,2,0
